key,value
9451,5.79
9452,5.79
9453,5.79
9470,5.79
9501,6.41
9505,9.11
9516,6.06
9519,7.8
9521,7.2
9522,4.45
9529,4.45
9530,4.45
9534,10.56
9552,10.56
9554,17.94
9586,2.65
9600,5.32
9609,5.32
9610,5.32
9620,3.96
9661,3.96
9921,3.96
9984,3.96
9985,3.96
